neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Yeh task bahut mushkil hai.,Work,Peer/Serious,tedhi kheer,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Yeh task bahut tedhi kheer hai.
Usne mujhe ignore kar diya.,Social,Peer/Sad,ghost,MIDDLE,No,[ASSERT_NEGATIVE],modern slang,Usne mujhe ghost kar diya.
Mera laptop bahut slow hai.,Tech,Peer/Annoyed,dabba,END,No,[ASSERT_NEGATIVE],negative eval,Mera laptop bahut dabba hai.
Code mein error aa raha hai.,Tech,Peer/Frustrated,locha,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,Code mein locha aa raha hai.
Kal subah jaldi uthna hai.,Routine,Peer/Tired,watt lagegi,END,No,[ASSERT_STRESS],idiom,"Kal subah jaldi uthna hai, watt lagegi."
Woh hamesha jhooth bolta hai.,Criticism,Peer/Annoyed,fekta,MIDDLE,No,[ASSERT_NEGATIVE],slang eval,Woh hamesha fekta hai.
Yeh idea bahut purana hai.,Work,Peer/Skeptical,ghisa-pita,END,No,[ASSERT_NEGATIVE],negative eval,Yeh idea bahut ghisa-pita hai.
Aaj traffic bahut zyada tha.,Commute,Peer/Tired,bhasad,END,No,[ASSERT_STRESS],idiom,Aaj traffic mein bahut bhasad thi.
Project ka deadline kal hai.,Academics,Peer/Tense,scene tight,END,Yes,[ASSERT_STRESS],intensifier,"Project ka deadline kal hai, scene tight hai."
Mujhe yeh baat samajh nahi aayi.,Discussion,Peer/Confused,bounce,MIDDLE,No,[ASSERT_CONFUSION],metaphor,Mujhe yeh baat bounce ho gayi.
Usne achanak plan cancel kiya.,Social,Peer/Annoyed,popat,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne achanak plan ka popat kiya.
Yeh khana bahut spicy hai.,Food,Peer/Happy,aag,END,No,[ASSERT_POSITIVE],intensifier,Yeh khana ekdum aag hai.
Movie ka ending bahut acha tha.,Review,Peer/Excited,bawaal,END,No,[ASSERT_POSITIVE],positive eval,Movie ka ending bahut bawaal tha.
Wo hamesha show off karta hai.,Criticism,Peer/Annoyed,flex,MIDDLE,No,[ASSERT_NEGATIVE],modern slang,Wo hamesha flex karta hai.
Result dekh ke darr lag raha hai.,Academics,Peer/Scared,fatti padi,MIDDLE,No,[EXPRESS_STRESS],idiom,Result dekh ke fatti padi hai.
Naya phone bahut mehenga hai.,Tech,Peer/Casual,aukaat ke bahar,END,No,[ASSERT_NEUTRAL],idiom,Naya phone aukaat ke bahar hai.
Exam bahut aasaan tha.,Academics,Peer/Happy,halwa,END,No,[ASSERT_POSITIVE],positive eval,Exam bahut halwa tha.
Canteen ka khana kharab hai.,Food,Peer/Disappointed,kachra,END,No,[ASSERT_NEGATIVE],negative eval,Canteen ka khana kachra hai.
Usne sab gadbad kar diya.,Mistake,Peer/Angry,raita faila,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Usne sab raita faila diya.
Main aaj bahut thak gaya hu.,Routine,Peer/Tired,toot,MIDDLE,No,[ASSERT_STRESS],idiom,Main aaj bahut toot gaya hu.
Aaj weather bahut acha hai.,Weather,Peer/Happy,vibe,END,No,[ASSERT_POSITIVE],lexical insertion,Aaj weather ekdum vibe hai.
Cab wale ne extra paise maange.,Commute,Peer/Annoyed,loot machai,END,No,[ASSERT_FRUSTRATION],idiom,Cab wale ne extra paise maang kar loot machai hai.
Mujhe coffee peeni hai.,Food,Peer/Casual,kadak,MIDDLE,No,[ASSERT_NEUTRAL],intensifier,Mujhe kadak coffee peeni hai.
Wo dost pe depend karta hai.,Lifestyle,Peer/Sarcastic,muft-khor,END,No,[ASSERT_NEGATIVE],descriptor,"Wo dost pe depend karta hai, muft-khor hai."
Boss bahut gusse mein tha.,Work,Peer/Warning,khiska hua,END,No,[ASSERT_WARNING],slang eval,Boss bahut khiska hua tha.
Main aaj din bhar free hu.,Social,Peer/Casual,vella,END,No,[ASSERT_NEUTRAL],descriptor,Main aaj din bhar vella hu.
Ye dress sasti mil gayi.,Shopping,Peer/Excited,kodi ke bhaav,MIDDLE,No,[ASSERT_POSITIVE],idiom,Ye dress kodi ke bhaav mil gayi.
WiFi theek se kaam nahi kar raha.,Tech,Peer/Frustrated,raddi,END,No,[ASSERT_FRUSTRATION],negative eval,WiFi ekdum raddi kaam kar raha hai.
Meeting bahut boring thi.,Work,Peer/Bored,pakaau,END,No,[ASSERT_NEGATIVE],negative eval,Meeting bahut pakaau thi.
Naya app bahut fast hai.,Tech,Peer/Happy,makkhan,END,No,[ASSERT_POSITIVE],metaphor,Naya app bahut makkhan hai.
Usko sab pata hota hai.,Criticism,Peer/Annoyed,dedh-shaana,END,No,[ASSERT_NEGATIVE],descriptor,"Usko sab pata hota hai, dedh-shaana hai."
Usne doston pe paise kharch kiye.,Social,Peer/Happy,paisa uda,MIDDLE,No,[ASSERT_HAPPY],idiom,Usne doston pe paisa uda diya.
Mujhe jaldi sach bata do.,Secret,Peer/Tense,ugal,MIDDLE,No,[REQUEST_URGENCY],idiom,Mere samne jaldi sach ugal do.
Kal chutti hai college ki.,Academics,Peer/Excited,mauj,END,Yes,[ASSERT_HAPPY],positive eval,"Kal chutti hai college ki, mauj hai."
Wo ladka darta bahut hai.,Criticism,Peer/Amused,fattu,END,No,[ASSERT_NEGATIVE],descriptor,Wo ladka bahut fattu hai.
Match bahut interesting tha.,Sports,Peer/Excited,kaatil,END,No,[ASSERT_POSITIVE],intensifier,Match bahut kaatil tha.
Main uska wait karke thak gaya.,Social,Peer/Annoyed,pak,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,Main uska wait karke pak gaya.
Bike ki speed bahut zyada thi.,Travel,Peer/Excited,rocket,END,No,[ASSERT_POSITIVE],metaphor,Bike ki speed ekdum rocket thi.
Tumne kaam mein acha kiya.,Work,Peer/Appreciation,phaad,MIDDLE,No,[ASSERT_POSITIVE],idiom,Tumne kaam mein phaad diya.
Ye kaam mere se nahi hoga.,Task,Peer/Frustrated,bas ki nahi,END,No,[ASSERT_NEGATIVE],idiom,Ye kaam mere bas ki nahi.
Usne akele project banaya.,Work,Peer/Respect,one-man army,END,No,[ASSERT_POSITIVE],metaphor,"Usne akele project banaya, ekdum one-man army."
Aaj office jaldi jana hai.,Routine,Peer/Urgent,fatt se,MIDDLE,No,[REQUEST_URGENCY],urgency marker,Aaj office fatt se jana hai.
Tum hamesha late aate ho.,Complaint,Peer/Annoyed,latif,END,No,[ASSERT_NEGATIVE],descriptor,"Tum hamesha late aate ho, ekdum latif."
Mujhe ye style pasand nahi aaya.,Fashion,Peer/Criticism,chhapri,END,No,[ASSERT_NEGATIVE],slang eval,Mujhe ye style chhapri lagta hai.
Usne naya startup shuru kiya.,Business,Peer/Happy,set,END,No,[ASSERT_POSITIVE],positive eval,Usne naya startup set kiya.
Usne bahut paisa kamaya hai.,Finance,Peer/Surprised,khoka chhaapa,END,No,[ASSERT_SURPRISE],idiom,Usne bahut khoka chhaapa hai.
Pura plan kharab ho gaya.,Social,Peer/Sad,gobar,MIDDLE,No,[ASSERT_NEGATIVE],negative eval,Pura plan gobar ho gaya.
Model train karne mein time lagta hai.,Tech,Peer/Tired,ghasna,MIDDLE,No,[ASSERT_STRESS],idiom,Model train karne mein ghasna padta hai.
Ye trick kaam kar gayi.,Solution,Peer/Happy,jugaad,MIDDLE,No,[ASSERT_POSITIVE],cultural marker,Ye jugaad kaam kar gaya.
Main dhyan nahi de raha tha.,Excuse,Peer/Neutral,apni dhun,MIDDLE,No,[ASSERT_NEUTRAL],descriptor,Main apni dhun mein tha.
Model training bahut lamba chal rahi hai.,Tech,Peer/Tired,ghasna,MIDDLE,No,[ASSERT_STRESS],idiom,Model training mein bahut ghasna pad raha hai.
Resume parser ka code finally chal gaya.,Tech,Peer/Excited,makkhan,MIDDLE,No,[ASSERT_POSITIVE],slang eval,Resume parser ka code finally makkhan chal gaya.
Database ka connection bar bar toot raha hai.,Tech,Peer/Frustrated,locha,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,Database ke connection mein bar bar locha ho raha hai.
API key achanak expire ho gayi.,Tech,Peer/Annoyed,popat,MIDDLE,No,[ASSERT_NEGATIVE],idiom,"API key expire ho gayi, achanak popat ho gaya."
Neural network ke weights galat update ho gaye.,Tech,Peer/Tense,raita fail gaya,END,No,[ASSERT_NEGATIVE],idiom,"Neural network ke weights galat update hue, raita fail gaya."
Cryptography ka assignment bahut tough hai.,Academics,Peer/Serious,tedhi kheer,END,No,[ASSERT_NEGATIVE],idiom,Cryptography ka assignment bahut tedhi kheer hai.
RSA encryption samajh nahi aa raha.,Academics,Peer/Confused,bounce,END,No,[ASSERT_CONFUSION],metaphor,RSA encryption sar ke upar se bounce ho raha hai.
Cipher logic build karna mushkil hai.,Tech,Peer/Frustrated,dimaag ka dahi,END,No,[ASSERT_FRUSTRATION],idiom,Cipher logic build karna ekdum dimaag ka dahi hai.
Fest ka theme video bahut acha hai.,Event,Peer/Excited,aag,END,No,[ASSERT_POSITIVE],slang eval,Fest ka theme video ekdum aag hai.
Nayi theme sabko bahut pasand aayi.,Event,Peer/Happy,bawaal,END,No,[ASSERT_POSITIVE],positive eval,Nayi theme sabko ekdum bawaal lagi.
Sponsorship ke liye companies mana kar rahi hain.,Fest,Peer/Annoyed,kaat,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Sponsorship ke liye companies humara kaat rahi hain.
Flash mob ka dance bahut energetic tha.,Event,Peer/Happy,faad,MIDDLE,No,[ASSERT_POSITIVE],slang eval,Flash mob ne dance mein faad diya.
Fest ka budget ab khatam ho gaya.,Event,Peer/Sad,kangaal,END,No,[ASSERT_NEGATIVE],filler,"Fest ka budget khatam, ab hum kangaal ho gaye."
Event management mein bahut thakan hoti hai.,Event,Peer/Tired,watt lag,MIDDLE,No,[ASSERT_STRESS],idiom,Event management mein bahut watt lag jati hai.
DJ night mein bahut bheed thi.,Event,Peer/Annoyed,bhasad,END,No,[ASSERT_STRESS],idiom,DJ night mein alag hi bhasad thi.
Cab ka fare bahut high hai aaj.,Travel,Peer/Annoyed,aukaat ke bahar,END,No,[ASSERT_NEGATIVE],idiom,Cab ka fare aaj aukaat ke bahar hai.
Driver ne trip accept karke cancel kar di.,Travel,Peer/Angry,dhokha,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,Driver ne trip accept karke dhokha de diya.
Cab wale surge pricing zyada laga rahe hain.,Travel,Peer/Angry,loot,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,Cab wale surge pricing se loot macha rahe hain.
Driver rasta lamba lekar ja raha hai.,Travel,Peer/Annoyed,gol gol,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Driver rasta lamba lekar gol gol ghuma raha hai.
Map ka GPS galat location dikha raha hai.,Travel,Peer/Confused,jhol,MIDDLE,No,[ASSERT_CONFUSION],idiom,Map ka GPS location mein jhol kar raha hai.
App mein naya bug aa gaya.,Tech,Peer/Tense,kaand,MIDDLE,No,[ASSERT_NEGATIVE],idiom,App mein naye bug se kaand ho gaya.
Naya UI design bahut saaf hai.,Tech,Peer/Happy,sorted,END,No,[ASSERT_POSITIVE],closure marker,Naya UI design ekdum sorted hai.
Server pe load bahut zyada badh gaya.,Tech,Peer/Tense,bhasad,END,No,[ASSERT_STRESS],idiom,Server pe load ki alag bhasad machi hai.
Main ticket update karna bhool gaya.,Work,Peer/Guilty,gol,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Main ticket update karne mein gol kar gaya.
Repo mein merge conflict aa gaya.,Tech,Peer/Frustrated,kalesh,END,No,[ASSERT_FRUSTRATION],idiom,Repo mein merge conflict ka kalesh ho gaya.
Aaj mess ka khana acha nahi hai.,Food,Peer/Disappointed,kachra,END,No,[ASSERT_NEGATIVE],negative eval,Aaj mess ka khana ekdum kachra hai.
Roommate hamesha free ka khata hai.,Lifestyle,Peer/Annoyed,muft-khor,END,No,[ASSERT_NEGATIVE],descriptor,Roommate ek number ka muft-khor hai.
"Kal viva hai, maine kuch nahi padha.",Academics,Peer/Scared,fatti padi,END,No,[EXPRESS_STRESS],idiom,"Kal viva hai, meri fatti padi hai."
Professor ne achanak quiz le liya.,Academics,Peer/Sad,popat,MIDDLE,No,[ASSERT_NEGATIVE],idiom,Professor ne achanak quiz leke popat kar diya.
Attendance meri short ho gayi.,Academics,Peer/Tense,L lag gaye,END,No,[ASSERT_NEGATIVE],idiom,"Attendance short ho gayi, mere L lag gaye."
Placement ka interview bahut lamba tha.,Career,Peer/Bored,pakaau,END,No,[ASSERT_NEGATIVE],negative eval,Placement ka interview bahut pakaau tha.
Usne interview mein jhooth bola.,Interview,Peer/Annoyed,feka,END,No,[ASSERT_NEGATIVE],slang eval,Usne interview mein bahut feka.
Ye software sikhna padega.,Tech,Peer/Tired,ghasna,MIDDLE,No,[ASSERT_STRESS],idiom,Ye software sikhne mein ghasna padega.
Mujhe internship mil gayi.,Career,Peer/Happy,scene set,END,Yes,[ASSERT_POSITIVE],closure marker,"Mujhe internship mil gayi, ab scene set hai."
Project ka group bahut acha hai.,Academics,Peer/Happy,solid,END,No,[ASSERT_POSITIVE],positive eval,Project ka group ekdum solid hai.
Hostel ka WiFi bahut slow hai.,Tech,Peer/Annoyed,raddi,END,No,[ASSERT_NEGATIVE],negative eval,Hostel ka WiFi ekdum raddi hai.
Wo hamesha attitude dikhata hai.,Criticism,Peer/Annoyed,flex,MIDDLE,No,[ASSERT_NEGATIVE],modern slang,Wo hamesha bina baat ke flex karta hai.
Canteen mein bahut bheed hai.,College,Peer/Tired,mach-mach,END,No,[ASSERT_STRESS],idiom,Canteen mein alag hi mach-mach hai.
Exam se pehle notes lene hain.,Academics,Peer/Urgent,jugaad,MIDDLE,No,[REQUEST_URGENCY],cultural marker,Exam se pehle notes ka jugaad karna hai.
Aaj class jaldi khatam ho gayi.,Academics,Peer/Excited,mauj,END,Yes,[ASSERT_HAPPY],positive eval,"Aaj class jaldi khatam ho gayi, mauj hai."
Ye question syllabus ke bahar se aaya.,Academics,Peer/Angry,scam,END,No,[ASSERT_NEGATIVE],slang eval,"Ye question syllabus ke bahar tha, scam ho gaya."
Dost ki gaadi mein ghoomne jayenge.,Social,Peer/Excited,gedi,MIDDLE,No,[ASSERT_HAPPY],cultural marker,Dost ki gaadi mein gedi maarne jayenge.
Aaj jaldi uthna pad gaya.,Routine,Peer/Tired,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Aaj jaldi uthna pad gaya, watt lag gayi."
System training ke time hang ho gaya.,Tech,Peer/Frustrated,dabba,END,No,[ASSERT_NEGATIVE],negative eval,System training ke time ekdum dabba ho gaya.
Script generate hone mein time lag เคฐเคนเคพ เคนเฅ�.,Tech,Peer/Tense,scene tight,END,No,[ASSERT_STRESS],intensifier,"Script generate hone mein time lag raha hai, scene tight hai."
Ye naya tool bahut fast hai.,Tech,Peer/Happy,makkhan,END,No,[ASSERT_POSITIVE],metaphor,Ye naya tool ekdum makkhan hai.
Wo dost hamesha late aata hai.,Complaint,Peer/Annoyed,latif,END,No,[ASSERT_NEGATIVE],descriptor,"Wo dost hamesha late aata hai, ekdum latif hai."
Mujhe uski baat fake lagi.,Social,Peer/Skeptical,sus,END,No,[ASSERT_WARNING],acronym,Mujhe uski baat thodi sus lagi.
Final year project khatam ho gaya.,Academics,Peer/Happy,done-dana-don,END,No,[ASSERT_POSITIVE],closure marker,"Final year project khatam ho gaya, done-dana-don."
Main kal raat bhar code likhta raha.,Routine,Peer/Tired,ullu,MIDDLE,No,[ASSERT_STRESS],metaphor,Main kal raat bhar ullu ki tarah code likhta raha.
Kitne aadmi the?,Movie/Tense,Peer/Angry,be,END,No,[ASSERT_WARNING],informal addr,"Kitne aadmi the, be?"
"Tera kya hoga, Kaalia?",Movie/Threat,Peer/Taunting,scene tight,END,No,[ASSERT_STRESS],idiom,"Tera kya hoga, Kaalia, scene tight hai?"
"Pushpa, I hate tears.",Movie/Drama,Peer/Comforting,senti,END,No,[REQUEST_NEUTRAL],modern slang,"Pushpa, I hate tears, senti mat ho."
Mogambo khush hua.,Movie/Victory,Peer/Happy,sorted,END,No,[ASSERT_POSITIVE],closure marker,"Mogambo khush hua, sorted."
Rishte mein toh hum tumhare baap lagte hain.,Movie/Action,Peer/Confident,bawa,END,No,[ASSERT_POSITIVE],informal addr,"Rishte mein toh hum tumhare baap lagte hain, bawa."
Bade bade deshon mein aisi choti baatein hoti rehti hain.,Movie/Romance,Peer/Comforting,chill maar,END,No,[REQUEST_NEUTRAL],softener,"Bade bade deshon mein aisi choti baatein hoti rehti hain, chill maar."
Don ko pakadna namumkin hai.,Movie/Action,Peer/Confident,boss,END,No,[ASSERT_POSITIVE],informal addr,"Don ko pakadna namumkin hai, boss."
"Picture abhi baaki hai, mere dost.",Movie/Drama,Peer/Encouraging,chill,END,No,[ASSERT_NEUTRAL],softener,"Picture abhi baaki hai, mere dost, chill."
Haar kar jeetne wale ko baazigar kehte hain.,Movie/Drama,Peer/Respect,pro,END,No,[ASSERT_POSITIVE],slang eval,"Haar kar jeetne wale ko baazigar kehte hain, pro."
"Rahul, naam toh suna hoga.",Movie/Romance,Peer/Casual,bro,END,No,[ASSERT_NEUTRAL],informal addr,"Rahul, naam toh suna hoga, bro."
"Tension lene ka nahi, sirf dene ka.",Movie/Comedy,Peer/Casual,funda clear,END,No,[ASSERT_NEUTRAL],lexical insertion,"Tension lene ka nahi, sirf dene ka, funda clear."
"Dosti ka ek usool hai, no sorry, no thank you.",Movie/Romance,Peer/Friendly,boss,END,No,[ASSERT_NEUTRAL],informal addr,"Dosti ka ek usool hai, no sorry, no thank you, boss."
Ek chutki sindoor ki keemat tum kya jano.,Movie/Drama,Peer/Sarcastic,bounce gaya,END,No,[ASSERT_NEGATIVE],metaphor,"Ek chutki sindoor ki keemat tum kya jano, bounce gaya?"
Main apni favorite hoon.,Movie/Comedy,Peer/Confident,flex,END,No,[ASSERT_POSITIVE],modern slang,"Main apni favorite hoon, flex."
"Thappar se darr nahi lagta sahab, pyar se lagta hai.",Movie/Action,Peer/Scared,fatti hai,END,No,[EXPRESS_STRESS],idiom,"Thappar se darr nahi lagta sahab, pyar se lagta hai, fatti hai."
"Zindagi badi honi chahiye, lambi nahi.",Movie/Drama,Peer/Philosophical,vibe hai,END,No,[ASSERT_POSITIVE],slang eval,"Zindagi badi honi chahiye, lambi nahi, vibe hai."
Sara shehar mujhe lion ke naam se janta hai.,Movie/Action,Peer/Confident,bhaukaal,END,No,[ASSERT_POSITIVE],slang eval,"Sara shehar mujhe lion ke naam se janta hai, bhaukaal."
Tareekh pe tareekh mil rahi hai.,Movie/Drama,Peer/Frustrated,dimaag ka dahi,END,No,[ASSERT_FRUSTRATION],idiom,"Tareekh pe tareekh mil rahi hai, dimaag ka dahi."
Main tera khoon pee jaunga.,Movie/Action,Peer/Angry,kaand karunga,END,No,[ASSERT_WARNING],idiom,"Main tera khoon pee jaunga, kaand karunga."
Ye dhai kilo ka haath jab padta hai.,Movie/Action,Peer/Threat,watt lag,MIDDLE,No,[ASSERT_WARNING],idiom,"Ye dhai kilo ka haath jab padta hai, watt lag jati hai."
"Aaj mere paas gaadi, bangla, paisa hai.",Movie/Drama,Peer/Confident,full flex,END,No,[ASSERT_POSITIVE],modern slang,"Aaj mere paas gaadi, bangla, paisa hai, full flex."
"Hum jahan khade hote hain, line wahi se shuru hoti hai.",Movie/Action,Peer/Confident,apna raaj,END,No,[ASSERT_POSITIVE],idiom,"Hum jahan khade hote hain, line wahi se shuru hoti hai, apna raaj."
Aata majhi satakli.,Movie/Action,Peer/Angry,dimaag kharab,END,No,[ASSERT_FRUSTRATION],idiom,"Aata majhi satakli, dimaag kharab."
"Bhai ne bola karne ka, toh karne ka.",Movie/Comedy,Peer/Casual,funda set,END,No,[ASSERT_NEUTRAL],lexical insertion,"Bhai ne bola karne ka, toh karne ka, funda set."
"Jo darr gaya, samjho marr gaya.",Movie/Action,Peer/Taunting,fattu,END,No,[ASSERT_NEGATIVE],descriptor,"Jo darr gaya, samjho marr gaya, fattu."
"Aap purush hi nahi, mahapurush hain.",Movie/Comedy,Peer/Respect,baap,END,No,[ASSERT_POSITIVE],slang eval,"Aap purush hi nahi, mahapurush hain, baap."
Ye baburao ka style hai.,Movie/Comedy,Peer/Funny,bawaal,END,No,[ASSERT_POSITIVE],slang eval,"Ye baburao ka style hai, bawaal."
Jalwa hai hamara yahan.,Movie/Drama,Peer/Confident,ekdum OP,END,No,[ASSERT_POSITIVE],gaming slang,"Jalwa hai hamara yahan, ekdum OP."
Mere pass maa hai.,Movie/Drama,Peer/Serious,bro,END,No,[ASSERT_NEUTRAL],informal addr,"Mere pass maa hai, bro."
Ek baar jo maine commitment kar di.,Movie/Action,Peer/Confident,fir nahi sunta bhai,END,No,[ASSERT_POSITIVE],filler,"Ek baar jo maine commitment kar di, fir nahi sunta bhai."
Teen cheezen underestimate mat karna.,Movie/Action,Peer/Warning,samjha,END,No,[ASSERT_WARNING],filler,"Teen cheezen underestimate mat karna, samjha?"
"Utha le re baba, mujhe utha le.",Movie/Comedy,Peer/Frustrated,scene off hai,END,No,[ASSERT_FRUSTRATION],idiom,"Utha le re baba, mujhe utha le, scene off hai."
Crime master Gogo naam hai mera.,Movie/Comedy,Peer/Confident,khatarnak,END,No,[ASSERT_POSITIVE],intensifier,"Crime master Gogo naam hai mera, khatarnak."
Tumse na ho payega.,Movie/Drama,Peer/Sarcastic,bas ki nahi,END,No,[ASSERT_NEGATIVE],idiom,"Tumse na ho payega, bas ki nahi."
Hum keh ke lenge.,Movie/Action,Peer/Threat,bhai,END,No,[ASSERT_WARNING],filler,"Hum keh ke lenge, bhai."
How is the josh?,Movie/Action,Peer/Excited,full aag,END,No,[ASSERT_POSITIVE],slang eval,"How is the josh, boys? Full aag!"
Mujhe kuch mil gaya.,Movie/Sci-Fi,Peer/Excited,jackpot,END,No,[ASSERT_POSITIVE],metaphor,"Mujhe kuch mil gaya, jackpot!"
Kabhi jeetne ke liye harna padta hai.,Movie/Drama,Peer/Comforting,chill maar,END,No,[REQUEST_NEUTRAL],softener,"Kabhi jeetne ke liye harna padta hai, chill maar."
Sab theek ho jayega.,Movie/Drama,Peer/Hopeful,scene set,END,No,[ASSERT_POSITIVE],closure marker,"Sab theek ho jayega, scene set."
"Jab tak todenge nahi, chodenge nahi.",Movie/Drama,Peer/Determined,ghasenge,END,No,[ASSERT_STRESS],idiom,"Jab tak todenge nahi, chodenge nahi, ghasenge."
Hamari chhoriyan chhoron se kam hain kya?,Movie/Sports,Peer/Proud,bawaal,END,No,[ASSERT_POSITIVE],positive eval,"Hamari chhoriyan chhoron se kam hain kya, bawaal!"
Apna time aayega.,Movie/Drama,Peer/Motivated,machayenge,END,No,[ASSERT_POSITIVE],modern slang,"Apna time aayega, machayenge."
Zindagi me ghamand nahi karna.,Movie/Drama,Peer/Advising,flex mat kar,END,No,[ASSERT_NEGATIVE],modern slang,"Zindagi me ghamand nahi karna, flex mat kar."
Tum ja rahe ho? Tum mat jao.,Movie/Romance,Peer/Sad,senti mat kar,END,No,[ASSERT_SADNESS],modern slang,"Tum ja rahe ho? Tum mat jao, senti mat kar."
Goli maar bheje mein.,Movie/Comedy,Peer/Frustrated,bheja fry,MIDDLE,No,[ASSERT_FRUSTRATION],idiom,"Goli maar bheje mein, bheja fry mat kar."
Jaa jee le apni zindagi.,Movie/Romance,Peer/Happy,mauj kar,END,No,[ASSERT_POSITIVE],positive eval,"Jaa jee le apni zindagi, mauj kar."
Kya kar raha hai yaar tu?,Movie/Comedy,Peer/Confused,raita faila,MIDDLE,No,[ASSERT_CONFUSION],idiom,"Kya kar raha hai yaar tu, raita faila raha hai?"
Bhai sab kuch theek hai.,Movie/Comedy,Peer/Happy,ekdum sorted,END,No,[ASSERT_POSITIVE],closure marker,"Bhai sab kuch theek hai, ekdum sorted."
"Chinta mat karo, sab badhiya hai.",Movie/Drama,Peer/Comforting,makkhan,END,No,[ASSERT_POSITIVE],slang eval,"Chinta mat karo, sab badhiya hai, makkhan."
Ye kya ho raha hai yahan?,Movie/Comedy,Peer/Confused,kalesh,END,No,[ASSERT_CONFUSION],idiom,"Ye kya ho raha hai yahan, kalesh?"
